epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.555,3.10981,4.13915,3.58816,0.65174,0.08848,0.07521,0.02566,2.44831,3.36721,2.90102,0.000553444,0.000553444,0.000553444
2,217.917,2.31479,2.94061,2.46618,0.46488,0.33992,0.32071,0.14595,1.99352,2.41665,2.21359,0.00110884,0.00110884,0.00110884
3,327.095,2.02362,2.34908,2.06019,0.64133,0.44091,0.51048,0.2708,1.78257,2.04347,1.90506,0.00166315,0.00166315,0.00166315
4,437.37,1.85731,2.00784,1.87095,0.64666,0.51652,0.57843,0.31059,1.72379,1.78215,1.77929,0.00166334,0.00166334,0.00166334
5,546.423,1.77648,1.81401,1.75494,0.7556,0.53957,0.63394,0.35833,1.61516,1.59731,1.68529,0.00166049,0.00166049,0.00166049
6,654.663,1.70302,1.67348,1.68039,0.78753,0.57675,0.68822,0.38467,1.58113,1.41948,1.64057,0.00165684,0.00165684,0.00165684
7,762.887,1.6697,1.56974,1.64464,0.79015,0.61483,0.70445,0.3934,1.60242,1.34908,1.65198,0.00165238,0.00165238,0.00165238
8,871.141,1.6352,1.47882,1.61706,0.84647,0.64113,0.75574,0.43107,1.52749,1.24588,1.59361,0.00164713,0.00164713,0.00164713
9,982.354,1.59137,1.38659,1.5724,0.84058,0.65372,0.75941,0.43638,1.50972,1.18382,1.54176,0.00164108,0.00164108,0.00164108
10,1092.62,1.57356,1.33914,1.54628,0.84146,0.70439,0.80031,0.47026,1.47454,1.10134,1.53497,0.00163424,0.00163424,0.00163424
11,1200.14,1.56131,1.30554,1.53399,0.84572,0.6985,0.80084,0.46954,1.46387,1.13035,1.4996,0.00162661,0.00162661,0.00162661
12,1309.18,1.54276,1.25716,1.51278,0.86816,0.73217,0.82923,0.49912,1.44935,1.02674,1.48509,0.00161822,0.00161822,0.00161822
13,1417.39,1.52224,1.23025,1.4928,0.86731,0.73021,0.84049,0.4935,1.43059,1.03557,1.47595,0.00160905,0.00160905,0.00160905
14,1525.14,1.50907,1.18101,1.479,0.85825,0.75189,0.846,0.50412,1.43945,1.00051,1.46869,0.00159913,0.00159913,0.00159913
15,1634.61,1.49611,1.17154,1.47016,0.86294,0.73313,0.82543,0.48918,1.44448,0.99513,1.47468,0.00158847,0.00158847,0.00158847
16,1745.3,1.47993,1.12278,1.44662,0.86851,0.76956,0.85862,0.51781,1.40532,0.93304,1.4483,0.00157706,0.00157706,0.00157706
17,1855.66,1.47069,1.12727,1.44446,0.86803,0.76176,0.85485,0.51176,1.42396,0.95279,1.4572,0.00156493,0.00156493,0.00156493
18,1963.83,1.48165,1.10729,1.45081,0.88921,0.76612,0.86331,0.52818,1.38229,0.90396,1.42564,0.00155209,0.00155209,0.00155209
19,2071.89,1.46187,1.08426,1.42934,0.88476,0.78093,0.87156,0.53586,1.37733,0.86811,1.40748,0.00153854,0.00153854,0.00153854
20,2180.6,1.44698,1.06902,1.4227,0.86409,0.77292,0.85541,0.52143,1.39586,0.90072,1.43281,0.00152431,0.00152431,0.00152431
21,2288.12,1.43154,1.0439,1.40384,0.88567,0.79107,0.87685,0.53232,1.39965,0.85979,1.41869,0.00150941,0.00150941,0.00150941
22,2397.12,1.43763,1.03769,1.40769,0.89314,0.77305,0.87309,0.54311,1.36429,0.84927,1.39219,0.00149384,0.00149384,0.00149384
23,2507.15,1.42033,1.01628,1.38972,0.88191,0.79607,0.88182,0.53516,1.4014,0.84983,1.41271,0.00147764,0.00147764,0.00147764
24,2617.69,1.43277,1.02693,1.39619,0.89352,0.80152,0.88461,0.5372,1.35952,0.81455,1.38059,0.0014608,0.0014608,0.0014608
25,2726.92,1.41583,0.99681,1.38827,0.89615,0.81506,0.8943,0.551,1.34655,0.80106,1.37209,0.00144335,0.00144335,0.00144335
26,2838.31,1.40972,0.99343,1.37579,0.88645,0.81227,0.89326,0.5491,1.3597,0.80447,1.38106,0.00142531,0.00142531,0.00142531
27,2949.52,1.41893,0.99189,1.38355,0.91056,0.7997,0.89287,0.55458,1.35004,0.79906,1.36848,0.0014067,0.0014067,0.0014067
28,3058.65,1.40964,0.96663,1.37283,0.903,0.80737,0.89645,0.55841,1.34579,0.78612,1.36525,0.00138753,0.00138753,0.00138753
29,3167.01,1.40061,0.96426,1.36523,0.89982,0.81775,0.89705,0.56318,1.3332,0.76805,1.35407,0.00136781,0.00136781,0.00136781
30,3276.73,1.39339,0.95107,1.35508,0.90762,0.80113,0.89517,0.55868,1.33954,0.78782,1.36209,0.00134758,0.00134758,0.00134758
31,3386.75,1.4043,0.94927,1.36588,0.88717,0.81996,0.89369,0.55978,1.33713,0.79864,1.36377,0.00132685,0.00132685,0.00132685
32,3495.23,1.3725,0.92554,1.34812,0.89916,0.81855,0.89866,0.565,1.34037,0.76709,1.3603,0.00130565,0.00130565,0.00130565
33,3603.28,1.37387,0.92207,1.34996,0.90247,0.81043,0.89637,0.57187,1.32788,0.7676,1.35537,0.00128398,0.00128398,0.00128398
34,3711.63,1.37161,0.91698,1.34884,0.90929,0.81556,0.90157,0.55629,1.33349,0.77592,1.35451,0.00126188,0.00126188,0.00126188
35,3819.58,1.38,0.91402,1.34843,0.90695,0.81641,0.90264,0.56492,1.33991,0.7568,1.35137,0.00123936,0.00123936,0.00123936
36,3928.28,1.36577,0.9027,1.33623,0.90637,0.81616,0.90457,0.57242,1.32366,0.73623,1.35247,0.00121645,0.00121645,0.00121645
37,4037.74,1.36683,0.89852,1.33678,0.90145,0.82295,0.90815,0.57219,1.32736,0.73849,1.3341,0.00119317,0.00119317,0.00119317
