epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6951,1.50381,1.71238,1.18013,0.80058,0.70712,0.7872,0.45037,1.48182,1.21853,1.2099,0.000553444,0.000553444,0.000553444
2,163.079,1.44251,1.13193,1.15791,0.83505,0.74457,0.81804,0.47564,1.46174,1.01258,1.21506,0.00110884,0.00110884,0.00110884
3,242.829,1.45513,1.06581,1.17076,0.85642,0.73209,0.81997,0.48766,1.42823,0.92709,1.20222,0.00166315,0.00166315,0.00166315
4,328.155,1.40935,0.97041,1.15735,0.87635,0.76505,0.86325,0.49936,1.43203,0.87461,1.1956,0.00166334,0.00166334,0.00166334
5,443.335,1.40525,0.93745,1.15364,0.88331,0.79466,0.876,0.52722,1.37185,0.81656,1.16378,0.00166049,0.00166049,0.00166049
6,610.249,1.38013,0.89213,1.14472,0.8895,0.81165,0.88402,0.54354,1.36817,0.75048,1.16448,0.00165684,0.00165684,0.00165684
7,689.373,1.37375,0.86336,1.14018,0.88618,0.80122,0.87969,0.53668,1.38115,0.76755,1.16919,0.00165238,0.00165238,0.00165238
8,770.162,1.37225,0.84298,1.13809,0.902,0.82115,0.89538,0.53484,1.38134,0.74845,1.17512,0.00164713,0.00164713,0.00164713
9,849.333,1.34228,0.83018,1.12971,0.88868,0.81097,0.88504,0.54926,1.33974,0.75044,1.15575,0.00164108,0.00164108,0.00164108
10,929.857,1.34171,0.81624,1.125,0.89711,0.80663,0.8867,0.56449,1.3157,0.73266,1.13825,0.00163424,0.00163424,0.00163424
11,1009.11,1.33371,0.80172,1.12066,0.88191,0.81995,0.89231,0.55407,1.37816,0.778,1.18702,0.00162661,0.00162661,0.00162661
12,1090.8,1.32954,0.79937,1.12295,0.88569,0.8222,0.89116,0.56106,1.33135,0.70725,1.14794,0.00161822,0.00161822,0.00161822
13,1171.96,1.31997,0.77305,1.11919,0.89973,0.83558,0.90954,0.56433,1.30951,0.68703,1.14298,0.00160905,0.00160905,0.00160905
14,1253.55,1.31674,0.76917,1.11901,0.90701,0.82981,0.91006,0.56475,1.33571,0.71267,1.1483,0.00159913,0.00159913,0.00159913
15,1333.55,1.30839,0.76941,1.11744,0.92117,0.84038,0.91902,0.58339,1.30099,0.66773,1.1331,0.00158847,0.00158847,0.00158847
16,1413.19,1.30184,0.74833,1.10783,0.90889,0.84562,0.92013,0.5849,1.2896,0.65067,1.13225,0.00157706,0.00157706,0.00157706
17,1494.15,1.29422,0.75584,1.10874,0.91641,0.83752,0.91356,0.58182,1.29656,0.66984,1.12598,0.00156493,0.00156493,0.00156493
18,1576.2,1.31091,0.74901,1.11444,0.91231,0.85963,0.92152,0.58665,1.28584,0.64575,1.13035,0.00155209,0.00155209,0.00155209
19,1657.05,1.28408,0.73499,1.10313,0.90618,0.83576,0.91149,0.5785,1.29934,0.66489,1.12887,0.00153854,0.00153854,0.00153854
20,1738.59,1.28986,0.73183,1.10625,0.90816,0.85451,0.92222,0.59069,1.28113,0.63044,1.12704,0.00152431,0.00152431,0.00152431
21,1821.41,1.28274,0.72107,1.09838,0.90366,0.85081,0.91517,0.58767,1.28375,0.64487,1.1282,0.00150941,0.00150941,0.00150941
22,1901.67,1.27555,0.72007,1.09927,0.91654,0.85662,0.92649,0.59801,1.27779,0.62102,1.1199,0.00149384,0.00149384,0.00149384
23,1981.3,1.27025,0.70923,1.09424,0.92627,0.85273,0.92562,0.59952,1.27355,0.62165,1.12499,0.00147764,0.00147764,0.00147764
24,2060.75,1.28333,0.71381,1.10035,0.92666,0.85141,0.92633,0.57605,1.29639,0.63291,1.13057,0.0014608,0.0014608,0.0014608
25,2140.4,1.26602,0.70106,1.09731,0.91383,0.85494,0.92407,0.58963,1.28825,0.62779,1.12796,0.00144335,0.00144335,0.00144335
26,2220.9,1.25935,0.69651,1.08906,0.91881,0.85412,0.92469,0.59182,1.2913,0.61749,1.1316,0.00142531,0.00142531,0.00142531
27,2300.19,1.26581,0.69937,1.09272,0.90943,0.86651,0.92731,0.59812,1.27144,0.60586,1.11507,0.0014067,0.0014067,0.0014067
28,2379.79,1.26393,0.68754,1.09003,0.91212,0.8695,0.9301,0.60079,1.27296,0.59678,1.12059,0.00138753,0.00138753,0.00138753
29,2459.89,1.248,0.68143,1.08048,0.91356,0.87681,0.9323,0.59812,1.26626,0.59982,1.10918,0.00136781,0.00136781,0.00136781
30,2541.01,1.25997,0.68147,1.08584,0.91978,0.85596,0.92675,0.59789,1.26857,0.60719,1.11681,0.00134758,0.00134758,0.00134758
31,2622.13,1.25662,0.67523,1.08366,0.93164,0.8482,0.92936,0.60264,1.26544,0.60241,1.1163,0.00132685,0.00132685,0.00132685
32,2703.22,1.23289,0.66106,1.07751,0.92129,0.86098,0.92775,0.60218,1.27011,0.60038,1.11394,0.00130565,0.00130565,0.00130565
33,2782.44,1.23541,0.66013,1.08148,0.91494,0.86641,0.93042,0.59452,1.29027,0.59264,1.12273,0.00128398,0.00128398,0.00128398
34,2860.95,1.2334,0.66039,1.08363,0.93545,0.86605,0.93412,0.60915,1.25594,0.59605,1.11469,0.00126188,0.00126188,0.00126188
35,2940.67,1.24067,0.65555,1.08181,0.9221,0.86821,0.93361,0.60514,1.25674,0.58793,1.11097,0.00123936,0.00123936,0.00123936
36,3024.15,1.22579,0.64511,1.07402,0.92664,0.87332,0.9316,0.60817,1.25377,0.57705,1.1105,0.00121645,0.00121645,0.00121645
37,3106.14,1.22309,0.64822,1.07323,0.92035,0.87616,0.9348,0.60778,1.25575,0.57413,1.10974,0.00119317,0.00119317,0.00119317
38,3187.9,1.22678,0.64817,1.07445,0.91357,0.87445,0.93157,0.60962,1.25911,0.58155,1.11541,0.00116955,0.00116955,0.00116955
39,3267.5,1.22281,0.64547,1.0717,0.93105,0.86411,0.93431,0.60661,1.26389,0.58428,1.11353,0.0011456,0.0011456,0.0011456
40,3346.77,1.20884,0.63074,1.06717,0.92539,0.87269,0.9355,0.61367,1.24395,0.57027,1.10125,0.00112135,0.00112135,0.00112135
41,3427.17,1.21268,0.63737,1.07051,0.92175,0.86811,0.93092,0.61206,1.24827,0.58014,1.10404,0.00109683,0.00109683,0.00109683
42,3507.48,1.20495,0.62866,1.06447,0.92453,0.87339,0.93283,0.61242,1.24872,0.57062,1.10782,0.00107205,0.00107205,0.00107205
43,3587.54,1.21562,0.62634,1.06946,0.92913,0.87393,0.93578,0.61358,1.2499,0.56983,1.10824,0.00104705,0.00104705,0.00104705
44,3668.37,1.20394,0.62008,1.06663,0.92314,0.87175,0.93317,0.60942,1.25362,0.56386,1.10827,0.00102184,0.00102184,0.00102184
45,3750.03,1.19716,0.62028,1.06194,0.92176,0.87425,0.93322,0.61249,1.25443,0.56329,1.11357,0.000996456,0.000996456,0.000996456
46,3831.85,1.19462,0.61404,1.05926,0.92767,0.87053,0.93477,0.61739,1.24087,0.56435,1.10338,0.000970919,0.000970919,0.000970919
47,3912.14,1.19307,0.61437,1.06061,0.92668,0.87861,0.9355,0.61579,1.23883,0.5631,1.10317,0.000945256,0.000945256,0.000945256
48,3992.03,1.19231,0.60743,1.06264,0.92364,0.88186,0.93664,0.61582,1.24756,0.55311,1.10122,0.00091949,0.00091949,0.00091949
49,4071.94,1.19374,0.60581,1.05853,0.92805,0.87779,0.93259,0.61787,1.23307,0.55052,1.09916,0.000893648,0.000893648,0.000893648
50,4151.57,1.19013,0.60303,1.06529,0.92726,0.87855,0.93932,0.61858,1.23522,0.55099,1.10007,0.000867754,0.000867754,0.000867754
51,4232.91,1.17564,0.59129,1.05517,0.92663,0.87043,0.93585,0.618,1.2442,0.55385,1.10151,0.000841835,0.000841835,0.000841835
52,4313.43,1.17808,0.5954,1.05335,0.92945,0.87472,0.93883,0.61651,1.23537,0.5483,1.09957,0.000815916,0.000815916,0.000815916
53,4393.61,1.17288,0.5892,1.05115,0.9285,0.88091,0.94018,0.61565,1.2397,0.55052,1.10173,0.000790022,0.000790022,0.000790022
54,4473.65,1.17867,0.59201,1.0539,0.92804,0.88067,0.94274,0.61655,1.24169,0.54748,1.10301,0.00076418,0.00076418,0.00076418
55,4553.53,1.17219,0.58726,1.05307,0.91751,0.88283,0.93762,0.62006,1.23087,0.54797,1.09765,0.000738414,0.000738414,0.000738414
56,4634.18,1.15973,0.5772,1.04904,0.92976,0.88148,0.93765,0.61964,1.23625,0.54251,1.09912,0.000712751,0.000712751,0.000712751
57,4715.5,1.17267,0.58349,1.05086,0.9244,0.87771,0.93886,0.62466,1.22661,0.544,1.09538,0.000687214,0.000687214,0.000687214
58,4796.23,1.16302,0.58021,1.04754,0.9197,0.8807,0.93896,0.6226,1.22709,0.54098,1.09651,0.000661831,0.000661831,0.000661831
59,4875.98,1.15356,0.57001,1.04166,0.92752,0.88079,0.93992,0.62471,1.22844,0.54154,1.09635,0.000636625,0.000636625,0.000636625
60,4955.97,1.15736,0.57363,1.04444,0.92734,0.88188,0.94105,0.62525,1.22551,0.53647,1.09625,0.000611621,0.000611621,0.000611621
61,5035.41,1.14909,0.5656,1.04126,0.9273,0.88166,0.94195,0.62575,1.23478,0.53968,1.09885,0.000586845,0.000586845,0.000586845
62,5115.32,1.14551,0.56455,1.03605,0.92672,0.87995,0.93824,0.62259,1.23214,0.53637,1.0968,0.00056232,0.00056232,0.00056232
63,5206.18,1.14734,0.56192,1.03794,0.92868,0.88078,0.94216,0.62761,1.22445,0.53274,1.09616,0.000538072,0.000538072,0.000538072
64,5284.19,1.14348,0.55969,1.03675,0.91466,0.89347,0.94348,0.62356,1.23182,0.53543,1.09863,0.000514122,0.000514122,0.000514122
65,5390.65,1.13896,0.55515,1.03746,0.93316,0.88122,0.94039,0.62625,1.22237,0.52874,1.09404,0.000490497,0.000490497,0.000490497
66,5515.03,1.13883,0.5553,1.03315,0.92401,0.8908,0.94154,0.62775,1.22988,0.52869,1.09705,0.000467218,0.000467218,0.000467218
67,5639.88,1.12315,0.54496,1.02992,0.93169,0.88133,0.94344,0.62668,1.23253,0.53078,1.0956,0.000444309,0.000444309,0.000444309
68,5760.42,1.12331,0.54739,1.02732,0.92731,0.88502,0.94547,0.62734,1.22393,0.52794,1.09325,0.000421792,0.000421792,0.000421792
69,5879,1.1218,0.54319,1.02738,0.92536,0.88285,0.94158,0.62657,1.22872,0.52767,1.09582,0.000399689,0.000399689,0.000399689
70,5998.26,1.12783,0.54322,1.0313,0.92712,0.88222,0.94229,0.62662,1.22891,0.53086,1.09526,0.000378023,0.000378023,0.000378023
71,6118.44,1.11513,0.53553,1.02635,0.91621,0.8923,0.94039,0.62851,1.22312,0.52634,1.09477,0.000356815,0.000356815,0.000356815
72,6202.99,1.12299,0.54504,1.03131,0.91169,0.89454,0.9431,0.62792,1.21758,0.52532,1.09041,0.000336086,0.000336086,0.000336086
73,6298.44,1.11626,0.53648,1.02394,0.91791,0.89234,0.94357,0.62872,1.22046,0.52009,1.08985,0.000315855,0.000315855,0.000315855
