epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.527,3.35699,3.68639,3.3354,0.71809,0.13221,0.16357,0.06413,2.38345,2.60449,2.41875,0.000553444,0.000553444,0.000553444
2,426.925,2.29193,2.28404,2.07168,0.5253,0.35871,0.35686,0.14427,2.13244,2.08021,1.96685,0.00110884,0.00110884,0.00110884
3,621.267,1.96757,1.82956,1.7419,0.69267,0.50688,0.59015,0.31564,1.70632,1.6805,1.61333,0.00166315,0.00166315,0.00166315
4,806.349,1.8009,1.56925,1.60013,0.73895,0.55843,0.63814,0.31564,1.74352,1.3472,1.60331,0.00166334,0.00166334,0.00166334
5,974.544,1.71531,1.4097,1.52193,0.81798,0.63328,0.72915,0.4063,1.5657,1.21617,1.49718,0.00166049,0.00166049,0.00166049
6,1140.53,1.65976,1.32598,1.47963,0.8435,0.66578,0.77262,0.43788,1.54472,1.08115,1.46486,0.00165684,0.00165684,0.00165684
7,1315.77,1.61261,1.25109,1.4459,0.80352,0.6455,0.73251,0.41276,1.56659,1.20154,1.475,0.00165238,0.00165238,0.00165238
8,1487.5,1.59214,1.18127,1.42964,0.85023,0.69573,0.80406,0.44507,1.50939,1.00621,1.42498,0.00164713,0.00164713,0.00164713
9,1657.9,1.5426,1.12707,1.40519,0.83632,0.71559,0.80923,0.47175,1.47279,1.01639,1.42164,0.00164108,0.00164108,0.00164108
10,1823.46,1.51889,1.08986,1.38093,0.87578,0.72505,0.81919,0.49291,1.45081,0.93188,1.39502,0.00163424,0.00163424,0.00163424
11,1985.64,1.5156,1.06283,1.37527,0.87653,0.73395,0.83343,0.50138,1.44557,0.92358,1.39781,0.00162661,0.00162661,0.00162661
12,2148.71,1.50397,1.0441,1.36345,0.86786,0.74522,0.82789,0.48881,1.46536,0.90409,1.38963,0.00161822,0.00161822,0.00161822
13,2312.23,1.48315,1.01398,1.34977,0.88441,0.74269,0.84257,0.51252,1.40772,0.87835,1.35192,0.00160905,0.00160905,0.00160905
14,2476.41,1.46915,0.99057,1.35016,0.87815,0.76242,0.85308,0.50778,1.43384,0.86576,1.3715,0.00159913,0.00159913,0.00159913
15,2639.59,1.45787,0.97815,1.3461,0.88718,0.76389,0.85719,0.51263,1.40454,0.8527,1.34398,0.00158847,0.00158847,0.00158847
16,2801.78,1.44269,0.9555,1.32185,0.8744,0.77747,0.86108,0.53222,1.37984,0.82043,1.3352,0.00157706,0.00157706,0.00157706
17,2968.79,1.43799,0.95159,1.33009,0.87931,0.77615,0.86704,0.52893,1.38959,0.83225,1.33945,0.00156493,0.00156493,0.00156493
18,3133.1,1.4389,0.94127,1.32939,0.88241,0.7842,0.8644,0.52877,1.37262,0.8013,1.32511,0.00155209,0.00155209,0.00155209
19,3294.21,1.41958,0.92417,1.3169,0.89927,0.78592,0.88169,0.54023,1.37889,0.77958,1.3281,0.00153854,0.00153854,0.00153854
20,3459.07,1.41521,0.90532,1.31184,0.90877,0.78813,0.88083,0.5405,1.35052,0.75698,1.30795,0.00152431,0.00152431,0.00152431
21,3627.83,1.39816,0.89267,1.29651,0.89119,0.78645,0.87547,0.53873,1.3628,0.7724,1.32145,0.00150941,0.00150941,0.00150941
22,3805.15,1.39847,0.89034,1.29634,0.903,0.78764,0.88244,0.55207,1.34347,0.74666,1.30175,0.00149384,0.00149384,0.00149384
23,3976.05,1.38618,0.87196,1.28873,0.88924,0.7997,0.88885,0.53403,1.36586,0.75958,1.31832,0.00147764,0.00147764,0.00147764
24,4141.38,1.40107,0.87977,1.29399,0.90615,0.80365,0.89267,0.54515,1.35554,0.72932,1.30711,0.0014608,0.0014608,0.0014608
25,4312.63,1.37672,0.85955,1.28382,0.88902,0.78917,0.88131,0.54479,1.3551,0.77205,1.31088,0.00144335,0.00144335,0.00144335
26,4484.68,1.3744,0.85643,1.27766,0.90195,0.79878,0.88852,0.56168,1.3291,0.72877,1.29672,0.00142531,0.00142531,0.00142531
27,4653.32,1.38422,0.85712,1.28743,0.90404,0.80472,0.89003,0.55097,1.34003,0.74404,1.29982,0.0014067,0.0014067,0.0014067
28,4821.78,1.37506,0.83893,1.27669,0.89881,0.8139,0.8969,0.56392,1.32883,0.73014,1.29811,0.00138753,0.00138753,0.00138753
29,4993.32,1.35722,0.8276,1.26559,0.9022,0.8129,0.89243,0.55538,1.32521,0.71636,1.28627,0.00136781,0.00136781,0.00136781
30,5156.86,1.3569,0.82555,1.26173,0.91114,0.81357,0.89856,0.56566,1.31548,0.71332,1.28718,0.00134758,0.00134758,0.00134758
31,5318.19,1.36208,0.82236,1.26591,0.9045,0.80966,0.89374,0.55877,1.32967,0.71793,1.29666,0.00132685,0.00132685,0.00132685
