epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.201,3.10736,4.11987,3.57772,0.58197,0.07501,0.04259,0.01468,2.42175,3.24867,2.85607,0.000553444,0.000553444,0.000553444
2,436.712,2.30263,2.90121,2.45452,0.51791,0.36794,0.38954,0.19359,1.92852,2.36448,2.11322,0.00110884,0.00110884,0.00110884
3,623.557,2.00932,2.31564,2.03986,0.59581,0.42497,0.4614,0.23235,1.89204,2.00075,1.9887,0.00166315,0.00166315,0.00166315
4,831.429,1.85028,1.99335,1.84479,0.73822,0.51661,0.60705,0.32988,1.72084,1.69897,1.78881,0.00166334,0.00166334,0.00166334
5,1117.9,1.7751,1.79491,1.73786,0.73424,0.55467,0.6388,0.36023,1.64345,1.51719,1.67861,0.00166049,0.00166049,0.00166049
6,1311.23,1.71317,1.66966,1.67211,0.74772,0.55888,0.67827,0.38104,1.57734,1.4759,1.62592,0.00165684,0.00165684,0.00165684
7,1512.24,1.66569,1.55422,1.61962,0.80487,0.63579,0.73063,0.41027,1.59445,1.30888,1.61994,0.00165238,0.00165238,0.00165238
8,1705.93,1.63492,1.46189,1.59579,0.81418,0.65127,0.75308,0.4242,1.50814,1.20741,1.55832,0.00164713,0.00164713,0.00164713
9,1900.86,1.5935,1.38421,1.55787,0.83816,0.66633,0.77457,0.44615,1.51057,1.15993,1.53247,0.00164108,0.00164108,0.00164108
10,2101.43,1.56173,1.32556,1.5242,0.84351,0.69773,0.80117,0.47978,1.45915,1.08213,1.49943,0.00163424,0.00163424,0.00163424
11,2294.19,1.55335,1.28432,1.50845,0.84905,0.72943,0.82123,0.48527,1.45009,1.04911,1.4822,0.00162661,0.00162661,0.00162661
12,2490.73,1.52708,1.24075,1.4856,0.87375,0.74049,0.83327,0.49714,1.4285,1.01794,1.46341,0.00161822,0.00161822,0.00161822
13,2682.13,1.51585,1.21333,1.47781,0.85254,0.7392,0.83208,0.50053,1.43024,0.9921,1.46503,0.00160905,0.00160905,0.00160905
14,2872.51,1.50507,1.1689,1.46637,0.87695,0.75549,0.85153,0.50168,1.44288,0.96748,1.45739,0.00159913,0.00159913,0.00159913
15,3068.43,1.48884,1.15759,1.45488,0.87503,0.75315,0.8414,0.50432,1.43346,0.9536,1.4454,0.00158847,0.00158847,0.00158847
16,3266.92,1.47573,1.12219,1.43389,0.84429,0.75021,0.84176,0.50067,1.42368,0.96686,1.44309,0.00157706,0.00157706,0.00157706
17,3457.44,1.47063,1.12162,1.43502,0.85651,0.77545,0.85954,0.52164,1.41526,0.91705,1.43576,0.00156493,0.00156493,0.00156493
18,3643.81,1.47704,1.10244,1.43363,0.87996,0.77758,0.86405,0.52382,1.38963,0.8898,1.40656,0.00155209,0.00155209,0.00155209
19,3829.27,1.45529,1.07537,1.41257,0.87131,0.78274,0.86329,0.52779,1.387,0.93005,1.40346,0.00153854,0.00153854,0.00153854
20,4013.18,1.45004,1.07653,1.41348,0.89411,0.77265,0.86352,0.52092,1.3797,0.881,1.4031,0.00152431,0.00152431,0.00152431
21,4200.4,1.43241,1.03421,1.39492,0.89295,0.77875,0.86987,0.53451,1.39061,0.85583,1.40569,0.00150941,0.00150941,0.00150941
22,4386.08,1.43106,1.03809,1.39588,0.90417,0.78065,0.87729,0.54963,1.35766,0.82371,1.376,0.00149384,0.00149384,0.00149384
23,4570.44,1.42202,1.01744,1.38177,0.89536,0.78766,0.87911,0.53402,1.39486,0.84686,1.40521,0.00147764,0.00147764,0.00147764
24,4753.95,1.43007,1.02287,1.38665,0.88628,0.7927,0.87493,0.53265,1.35461,0.82865,1.36969,0.0014608,0.0014608,0.0014608
25,4938.7,1.41115,0.9919,1.3753,0.90135,0.76631,0.87217,0.54236,1.35853,0.85264,1.36741,0.00144335,0.00144335,0.00144335
26,5120.98,1.41063,0.99869,1.36713,0.88854,0.78702,0.87906,0.54081,1.36582,0.85522,1.37275,0.00142531,0.00142531,0.00142531
27,5303.93,1.42016,0.99435,1.37558,0.92521,0.77949,0.88591,0.55024,1.34799,0.80704,1.3627,0.0014067,0.0014067,0.0014067
28,5486.23,1.40898,0.97304,1.36444,0.89826,0.79339,0.88665,0.55344,1.35685,0.80292,1.36311,0.00138753,0.00138753,0.00138753
29,5679.28,1.3955,0.96677,1.35438,0.88826,0.80738,0.88964,0.55501,1.33772,0.77777,1.3539,0.00136781,0.00136781,0.00136781
30,5878.7,1.39474,0.96011,1.35002,0.89072,0.7997,0.88591,0.55933,1.35085,0.79256,1.3556,0.00134758,0.00134758,0.00134758
31,6062.48,1.40798,0.95761,1.35464,0.91098,0.80157,0.88741,0.55073,1.34762,0.80105,1.35726,0.00132685,0.00132685,0.00132685
32,6250.5,1.37364,0.92389,1.33899,0.90294,0.80914,0.88999,0.5537,1.34017,0.78127,1.35461,0.00130565,0.00130565,0.00130565
